,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,genre
13,0.562,0.46,4,-14.491,0,0.0507,0.98,0.573,0.36,0.966,114.68,audio_features,2GtdzRLwo1IOdWKaTXPNDW,spotify:track:2GtdzRLwo1IOdWKaTXPNDW,https://api.spotify.com/v1/tracks/2GtdzRLwo1IOdWKaTXPNDW,https://api.spotify.com/v1/audio-analysis/2GtdzRLwo1IOdWKaTXPNDW,138400,4,Tulla Céilí Band,All Ireland Céilí Bands
14,0.559,0.691,2,-8.898,1,0.0452,0.703,0.0255,0.28,0.924,118.225,audio_features,2RKly2XhT9uIh5EP3DreBn,spotify:track:2RKly2XhT9uIh5EP3DreBn,https://api.spotify.com/v1/tracks/2RKly2XhT9uIh5EP3DreBn,https://api.spotify.com/v1/audio-analysis/2RKly2XhT9uIh5EP3DreBn,226427,4,Kilfenora Céilí Band,All Ireland Céilí Bands
15,0.512,0.564,7,-9.165,1,0.0466,0.781,0.54,0.069,0.966,126.7,audio_features,0X3Kv93OPB28Jyr9GgOnUj,spotify:track:0X3Kv93OPB28Jyr9GgOnUj,https://api.spotify.com/v1/tracks/0X3Kv93OPB28Jyr9GgOnUj,https://api.spotify.com/v1/audio-analysis/0X3Kv93OPB28Jyr9GgOnUj,249907,4,Kilfenora Céilí Band,All Ireland Céilí Bands
16,0.586,0.545,2,-9.126,1,0.0417,0.766,0.743,0.174,0.923,97.678,audio_features,5Kn7ZIqG7xqBTNsYWlmukV,spotify:track:5Kn7ZIqG7xqBTNsYWlmukV,https://api.spotify.com/v1/tracks/5Kn7ZIqG7xqBTNsYWlmukV,https://api.spotify.com/v1/audio-analysis/5Kn7ZIqG7xqBTNsYWlmukV,160907,4,Kilfenora Céilí Band,All Ireland Céilí Bands
17,0.613,0.718,2,-9.936,1,0.0436,0.767,0.402,0.214,0.968,117.397,audio_features,1UOvDCTqhqQw0Tyt2oBkTP,spotify:track:1UOvDCTqhqQw0Tyt2oBkTP,https://api.spotify.com/v1/tracks/1UOvDCTqhqQw0Tyt2oBkTP,https://api.spotify.com/v1/audio-analysis/1UOvDCTqhqQw0Tyt2oBkTP,219293,4,Kilfenora Céilí Band,All Ireland Céilí Bands
18,0.563,0.561,2,-10.429,1,0.0567,0.754,0.725,0.253,0.961,123.156,audio_features,6cUOTTzpWXTDT2kpuAhCW8,spotify:track:6cUOTTzpWXTDT2kpuAhCW8,https://api.spotify.com/v1/tracks/6cUOTTzpWXTDT2kpuAhCW8,https://api.spotify.com/v1/audio-analysis/6cUOTTzpWXTDT2kpuAhCW8,286173,4,Kilfenora Céilí Band,All Ireland Céilí Bands
19,0.581,0.509,7,-9.384,1,0.0405,0.696,0.224,0.267,0.968,121.864,audio_features,4MJETxDjW7dQOgi6xsa8UU,spotify:track:4MJETxDjW7dQOgi6xsa8UU,https://api.spotify.com/v1/tracks/4MJETxDjW7dQOgi6xsa8UU,https://api.spotify.com/v1/audio-analysis/4MJETxDjW7dQOgi6xsa8UU,199160,4,Kilfenora Céilí Band,All Ireland Céilí Bands
20,0.534,0.61,2,-9.823,1,0.0483,0.751,0.131,0.0926,0.93,113.792,audio_features,3gN4y7xk0tIILoJke3uCnC,spotify:track:3gN4y7xk0tIILoJke3uCnC,https://api.spotify.com/v1/tracks/3gN4y7xk0tIILoJke3uCnC,https://api.spotify.com/v1/audio-analysis/3gN4y7xk0tIILoJke3uCnC,191093,4,Kilfenora Céilí Band,All Ireland Céilí Bands
21,0.576,0.503,7,-9.431,1,0.0389,0.721,0.264,0.0586,0.964,120.76,audio_features,2jOSbj6n5KZbaBQMgq1gDD,spotify:track:2jOSbj6n5KZbaBQMgq1gDD,https://api.spotify.com/v1/tracks/2jOSbj6n5KZbaBQMgq1gDD,https://api.spotify.com/v1/audio-analysis/2jOSbj6n5KZbaBQMgq1gDD,231987,4,Kilfenora Céilí Band,All Ireland Céilí Bands
22,0.571,0.641,2,-9.518,1,0.0422,0.79,0.66,0.204,0.97,113.78,audio_features,1afAaxiKLUPYG0a5ZTvAZx,spotify:track:1afAaxiKLUPYG0a5ZTvAZx,https://api.spotify.com/v1/tracks/1afAaxiKLUPYG0a5ZTvAZx,https://api.spotify.com/v1/audio-analysis/1afAaxiKLUPYG0a5ZTvAZx,191533,4,Kilfenora Céilí Band,All Ireland Céilí Bands
23,0.565,0.58,2,-9.902,1,0.0532,0.814,0.796,0.183,0.946,129.412,audio_features,6NJuhTJQW5mfpPbboOOQDM,spotify:track:6NJuhTJQW5mfpPbboOOQDM,https://api.spotify.com/v1/tracks/6NJuhTJQW5mfpPbboOOQDM,https://api.spotify.com/v1/audio-analysis/6NJuhTJQW5mfpPbboOOQDM,184387,4,Kilfenora Céilí Band,All Ireland Céilí Bands
24,0.56,0.521,2,-8.678,1,0.0459,0.686,0.0205,0.0814,0.957,97.49,audio_features,7f9xMWRmqNtrdOCq4dTb2Y,spotify:track:7f9xMWRmqNtrdOCq4dTb2Y,https://api.spotify.com/v1/tracks/7f9xMWRmqNtrdOCq4dTb2Y,https://api.spotify.com/v1/audio-analysis/7f9xMWRmqNtrdOCq4dTb2Y,202480,4,Kilfenora Céilí Band,All Ireland Céilí Bands
25,0.54,0.717,2,-9.37,1,0.0494,0.824,0.507,0.233,0.97,114.931,audio_features,75eWCby4VIWgS3sBFk8Mpv,spotify:track:75eWCby4VIWgS3sBFk8Mpv,https://api.spotify.com/v1/tracks/75eWCby4VIWgS3sBFk8Mpv,https://api.spotify.com/v1/audio-analysis/75eWCby4VIWgS3sBFk8Mpv,207480,4,Kilfenora Céilí Band,All Ireland Céilí Bands
26,0.557,0.692,2,-9.216,1,0.0396,0.755,0.0675,0.327,0.961,117.076,audio_features,75C0OVDapX5aQ3ckqAPRP8,spotify:track:75C0OVDapX5aQ3ckqAPRP8,https://api.spotify.com/v1/tracks/75C0OVDapX5aQ3ckqAPRP8,https://api.spotify.com/v1/audio-analysis/75C0OVDapX5aQ3ckqAPRP8,152360,4,Kilfenora Céilí Band,All Ireland Céilí Bands
27,0.485,0.699,7,-9.861,1,0.05,0.746,0.748,0.345,0.974,116.098,audio_features,4KUodK5RjCnpzSqXvTCNkN,spotify:track:4KUodK5RjCnpzSqXvTCNkN,https://api.spotify.com/v1/tracks/4KUodK5RjCnpzSqXvTCNkN,https://api.spotify.com/v1/audio-analysis/4KUodK5RjCnpzSqXvTCNkN,189547,4,Bridge Céilí Band,All Ireland Céilí Bands
